model,modbus_address,parameter,unit,register_length,data_type,r_w,data_range,industry_standard,indb,setupRead,setupWrite,timestamp,read_command,write_command,value_weight,address
EM210-72D.MV5.3.X.OS.X,134,thd_current_phase_c,A,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,136,thd_voltage_average_ln,V,1,int32,r,,,f,f,f,f,3,,0,
EM210-72D.MV5.3.X.OS.X,138,thd_voltage_phase_an,V,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,140,thd_voltage_phase_bn,V,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,142,thd_voltage_phase_cn,V,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,144,thd_voltage_average_ll,V,1,int32,r,,,f,f,f,f,3,,0,
EM210-72D.MV5.3.X.OS.X,146,thd_voltage_phase_ab,V,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,148,thd_voltage_phase_bc,V,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,150,thd_voltage_phase_ca,V,1,int32,r,,,f,f,f,f,3,,100,
EM210-72D.MV5.3.X.OS.X,152,amps_neutral,A,1,int32,r,,,f,f,f,f,3,,1000,
EM210-72D.MV5.3.X.OS.X,770,firmware_v,,1,uint16,r,,,f,t,f,f,3,,,
EM210-72D.MV5.3.X.OS.X,4358,thd_enable,,1,uint16,r/w,,,f,f,f,f,3,6,,
EM210-72D.MV5.3.X.OS.X,8192,device_address,,1,uint16,r/w,,,f,t,t,f,3,6,,1
EM210-72D.MV5.3.X.OS.X,16384,reset,,1,uint16,r/w,,,f,f,t,f,3,6,1,
EM210-72D.MV5.3.X.OS.X,20480,serial_number,,7,uint16,r,,,f,t,f,f,3,,,
EM210-72D.MV5.3.X.OS.X,4099,ct,,1,uint32,r,,,f,t,f,f,3,16,,
EM210-72D.MV5.3.X.OS.X,4101,vt,,1,uint32,r,,,f,t,f,f,3,16,,
acurev-1313-5a-x0,523,reset,,1,word,W,,,f,f,t,f,3,16,0,
acurev-1313-5a-x0,530,ct2_value,,1,word,r/w,,,f,f,t,f,3,16,0,
acurev-1313-5a-x0,531,ct1_value,,1,word,r/w,,,f,f,t,f,3,16,1,
acurev-1313-5a-x0,532,ctn_value,,1,word,r/w,,,f,f,t,f,3,16,2,
acurev-1313-5a-x0,533,pt2_value,,1,word,r/w,,,f,f,t,f,3,16,3,
acurev-1313-5a-x0,534,pt1_value,,1,word,r/w,,,f,f,t,f,3,16,4,
